is_completed,coverage_rate,repeated_coverage,accumulated_pos,step
False,0.0007993605115907274,0.0,0.002750965250965251,1
False,0.0015987210231814548,0.0,0.006225868725868726,2
False,0.002398081534772182,0.0,0.009411196911196911,3
False,0.0031974420463629096,0.0,0.012813706563706565,4
False,0.003996802557953637,0.0,0.01636100386100386,5
False,0.004796163069544364,0.0,0.01987210424710425,6
False,0.005595523581135092,0.0,0.02356418918918919,7
False,0.006394884092725819,0.0,0.026966698841698843,8
False,0.007194244604316547,0.0,0.030314913127413128,9
False,0.007993605115907274,0.0,0.033771718146718144,10
False,0.008792965627498001,0.0,0.03675796332046332,11
False,0.009592326139088728,0.0,0.03996138996138996,12
False,0.010391686650679457,0.0,0.04287524131274131,13
False,0.011191047162270184,0.0,0.045662403474903475,14
False,0.011990407673860911,0.0,0.04770752895752896,15
False,0.012789768185451638,0.0,0.05020511583011583,16
False,0.013589128697042365,0.0,0.05299227799227799,17
False,0.014388489208633094,0.0,0.05579753861003861,18
False,0.015187849720223821,0.0,0.05822273166023166,19
False,0.01598721023181455,0.0,0.061172779922779925,20
False,0.016786570743405275,0.0,0.06443050193050193,21
False,0.017585931254996003,0.0,0.0679054054054054,22
False,0.017585931254996003,0.0007993605115907274,0.0679054054054054,23
False,0.017585931254996003,0.0015987210231814548,0.0679054054054054,24
False,0.01838529176658673,0.0015987210231814548,0.07004102316602316,25
False,0.019184652278177457,0.0015987210231814548,0.07297297297297296,26
False,0.019984012789768184,0.0015987210231814548,0.07547055984555984,27
False,0.020783373301358914,0.0015987210231814548,0.07778716216216215,28
False,0.02158273381294964,0.0015987210231814548,0.0800494691119691,29
False,0.02238209432454037,0.0015987210231814548,0.08227557915057913,30
False,0.023181454836131096,0.0015987210231814548,0.08457408301158299,31
False,0.023980815347721823,0.0015987210231814548,0.08660111003861001,32
False,0.02478017585931255,0.0015987210231814548,0.08877292471042468,33
False,0.025579536370903277,0.0015987210231814548,0.09099903474903472,34
False,0.026378896882494004,0.0015987210231814548,0.09340612934362931,35
False,0.02717825739408473,0.0015987210231814548,0.09588561776061773,36
False,0.027977617905675458,0.0015987210231814548,0.09896235521235518,37
False,0.02877697841726619,0.0015987210231814548,0.10194860038610035,38
False,0.029576338928856916,0.0015987210231814548,0.10486245173745169,39
False,0.030375699440447643,0.0015987210231814548,0.10837355212355208,40
False,0.03117505995203837,0.0015987210231814548,0.11143219111969108,41
False,0.0319744204636291,0.0015987210231814548,0.11425555019305014,42
False,0.032773780975219824,0.0015987210231814548,0.11716940154440149,43
False,0.03357314148681055,0.0015987210231814548,0.11990226833976829,44
False,0.03437250199840128,0.0015987210231814548,0.12256274131274127,45
False,0.035171862509992005,0.0015987210231814548,0.12534990347490343,46
False,0.03597122302158273,0.0015987210231814548,0.12844473938223935,47
False,0.03677058353317346,0.0015987210231814548,0.132046332046332,48
False,0.037569944044764186,0.0015987210231814548,0.13566602316602314,49
False,0.03836930455635491,0.0015987210231814548,0.1390685328185328,50
False,0.03916866506794564,0.0015987210231814548,0.14259773166023162,51
False,0.03996802557953637,0.0015987210231814548,0.14572876447876446,52
False,0.0407673860911271,0.0015987210231814548,0.14884169884169882,53
False,0.04156674660271783,0.0015987210231814548,0.15242519305019303,54
False,0.042366107114308556,0.0015987210231814548,0.15550193050193048,55
False,0.04316546762589928,0.0015987210231814548,0.15870535714285713,56
False,0.04396482813749001,0.0015987210231814548,0.16180019305019305,57
False,0.04476418864908074,0.0015987210231814548,0.16494932432432433,58
False,0.045563549160671464,0.0015987210231814548,0.16798986486486486,59
False,0.04636290967226219,0.0015987210231814548,0.17093991312741313,60
False,0.04716227018385292,0.0015987210231814548,0.1732746138996139,61
False,0.047961630695443645,0.0015987210231814548,0.17575410231660232,62
False,0.04876099120703437,0.0015987210231814548,0.17805260617760618,63
False,0.0495603517186251,0.0015987210231814548,0.18044160231660233,64
False,0.050359712230215826,0.0015987210231814548,0.18236003861003863,65
False,0.051159072741806554,0.0015987210231814548,0.18451375482625484,66
False,0.05195843325339728,0.0015987210231814548,0.18646838803088805,67
False,0.05275779376498801,0.0015987210231814548,0.1877533783783784,68
False,0.053557154276578735,0.0015987210231814548,0.1896718146718147,69
False,0.05435651478816946,0.0015987210231814548,0.191789333976834,70
False,0.05515587529976019,0.0015987210231814548,0.1943955115830116,71
False,0.05515587529976019,0.002398081534772182,0.1943955115830116,72
False,0.055955235811350916,0.002398081534772182,0.19571669884169887,73
False,0.05675459632294165,0.002398081534772182,0.19750844594594597,74
False,0.05755395683453238,0.002398081534772182,0.19933638996138997,75
False,0.058353317346123104,0.002398081534772182,0.2012005308880309,76
False,0.05915267785771383,0.002398081534772182,0.20369811776061775,77
False,0.05995203836930456,0.002398081534772182,0.20556225868725866,78
False,0.060751398880895285,0.002398081534772182,0.20796935328185326,79
False,0.06155075939248601,0.002398081534772182,0.21066602316602315,80
False,0.06235011990407674,0.002398081534772182,0.2134531853281853,81
False,0.06314948041566747,0.002398081534772182,0.21616795366795363,82
False,0.0639488409272582,0.002398081534772182,0.2185026544401544,83
False,0.06474820143884892,0.002398081534772182,0.22036679536679532,84
False,0.06554756195043965,0.002398081534772182,0.2221223455598455,85
False,0.06634692246203037,0.002398081534772182,0.22422176640926636,86
False,0.0671462829736211,0.002398081534772182,0.22642977799227795,87
False,0.06794564348521183,0.002398081534772182,0.22814913127413122,88
False,0.06874500399680256,0.002398081534772182,0.23026665057915052,89
False,0.06954436450839328,0.002398081534772182,0.23191361003860997,90
False,0.07034372501998401,0.002398081534772182,0.2333252895752895,91
